inci_name,cas_no,function
ACRYLATES/CETETH-20 ITACONATE COPOLYMER,,en:viscosity-controlling
WHEAT GERMAMIDOPROPYLAMINE OXIDE,,"en:antistatic, en:cleansing, en:foam-boosting, en:hair-conditioning, en:hydrotrope, en:surfactant"
POTASSIUM NITRATE,7757-79-1,"en:oral-care, en:soothing"
PHENYLPROPIONALDEHYDE,1335-10-0,en:perfuming
RICE SH-OLIGOPEPTIDE-2,,"en:humectant, en:opacifying, en:skin-conditioning"
CINNAMAL,104-55-2,"en:denaturant, en:flavouring, en:perfuming"
STEARYL ERUCAMIDE,10094-45-8,"en:opacifying, en:viscosity-controlling"
PALMITOYL HEXAPEPTIDE-52,,en:skin-conditioning
DIHYDROXYPROPYL ARGININE HCL,787607-61-8,"en:hair-conditioning, en:humectant, en:skin-conditioning"
ISOPROPYL PHENYLACETATE,4861-85-2,en:perfuming
ASPERGILLUS/RICE/SOYMILK FERMENT FILTRATE,,en:skin-conditioning
PERILLA FRUTESCENS LEAF WATER,90082-61-4,en:masking
CHLORHEXIDINE DIUNDECYLENATE,1884575-91-0,"en:antimicrobial, en:deodorant, en:oral-care"
MACHILUS THUNBERGII SEED OIL,,en:skin-conditioning
2-SEC-BUTYLCYCLOHEXANONE,14765-30-1,en:perfuming
METHYL BENZOATE,93-58-3,"en:perfuming, en:preservative, en:skin-conditioning, en:solvent"
BUTYLENE GLYCOL MYRISTATE,,"en:emollient, en:emulsifying, en:skin-conditioning, en:surfactant"
STEARYL TRIMETHICONE,167160-55-6,"en:emollient, en:skin-conditioning"
CNICUS JAPONICUS EXTRACT,,en:skin-conditioning
PROPYLENE GLYCOL DILAURATE,22788-19-8,"en:emollient, en:viscosity-controlling"
METHYL BETA-NAPHTHYL ETHER,93-04-9,en:perfuming
MONASCUS/PAEONIA SUFFRUTICOSA FLOWER/RICE BRAN FERMENT FILTRATE,,"en:antiseborrhoeic, en:skin-conditioning"
C18-38 ALKYL BEESWAX,223706-17-0,"en:emollient, en:skin-conditioning"
SH-POLYPEPTIDE-6,,"en:humectant, en:skin-conditioning"
SODIUM/TEA-UNDECYLENOYL CARRAGEENAN,224580-91-0,"en:emulsion-stabilising, en:hair-conditioning, en:skin-conditioning"
10-HYDROXYDECANOIC ACID,1679-53-4,en:skin-conditioning
VACCINIUM MACROCARPON SEEDCAKE POWDER,,en:skin-conditioning
PPG-12-LANETH-50,,"en:emulsifying, en:surfactant"
ACACIA CONCINNA FRUIT EXTRACT,202148-87-6,en:skin-conditioning
1-ISOPROPYL-4-METHYLBICYCLOOCTENE-2-CARBALDEHYDE,67920-94-9,en:perfuming
ELEUTHEROCOCCUS NODIFLORUS ROOT BARK EXTRACT,,en:antioxidant
SODIUM OXIDIZED STARCH ACETATE/SUCCINATE,,"en:film-forming, en:hair-conditioning, en:humectant, en:skin-conditioning"
OCTYLDODECYL GLYCOL GRAPESEEDATE,,"en:hair-conditioning, en:skin-conditioning"
QUATERNIUM-22,51812-80-7 / 82970-95-4,"en:antistatic, en:film-forming, en:hair-conditioning"
NARDOSTACHYS CHINENSIS ROOT EXTRACT,,en:skin-conditioning
SH-POLYPEPTIDE-57,,en:skin-protecting
AMMONIUM STYRENE/ACRYLATES/ETHYLHEXYL ACRYLATE/LAURYL ACRYLATE COPOLYMER,,en:film-forming
C1-8 ALKYL TETRAHYDROXYCYCLOHEXANOATE,,en:skin-conditioning
STEARAMIDOPROPALKONIUM CHLORIDE,65694-10-2,en:antistatic
OCIMUM BASILICUM FLOWER/LEAF/STEM WATER,84775-71-3,"en:masking, en:perfuming"
PRUNUS CAMPANULATA/YEDOENSIS FLOWER EXTRACT,,en:skin-conditioning
BACILLUS/RICE BRAN EXTRACT/SOYBEAN EXTRACT FERMENT FILTRATE,,"en:antioxidant, en:emollient, en:hair-conditioning, en:hair-fixing, en:humectant, en:skin-conditioning"
ISODECYL HYDROXYSTEARATE,29383-27-5,"en:emollient, en:skin-conditioning"
TOCOPHEROL,54-28-4 -gamma-/ 16698-35-4-beta- / 10191-41-0-DL- / 119-13-1 / 1406-18-4 / 1406-66-2 / 2074-53-5 -DL- / 59-02-9 -D-/7616-22-0,"en:antioxidant, en:masking, en:skin-conditioning"
PPG-3-ISOSTEARETH-9,,"en:emulsifying, en:surfactant"
JUNIPERUS VIRGINIANA EXTRACT EPOXIDIZED,100209-33-4,en:perfuming
HYDROGENATED CASTOR OIL STEARATE,,"en:skin-conditioning, en:viscosity-controlling"
LYSOZYME,9001-63-2,en:skin-conditioning
ASPERGILLUS/FERMENT FILTRATE,,en:not-reported
BACILLUS/MONASCUS/PLUKENETIA VOLUBILIS SEED/RICE BRAN FERMENT FILTRATE,,"en:antimicrobial, en:antioxidant, en:skin-protecting"
PENTAISOSTEAROYL 3-GLYCERYL ASCORBATE,,"en:antioxidant, en:humectant, en:skin-conditioning"
TETRAPEPTIDE-58,,en:skin-conditioning
METSCHNIKOWIA AGAVES EXTRACT,1309127-75-0,en:skin-protecting
GALLA RHOIS GALLNUT EXTRACT,,"en:antimicrobial, en:antioxidant"
SILICA CAPRYLYL SILYLATE,92797-60-9,en:viscosity-controlling
NONOXYNOL-9,14409-72-4; 26027-38-3; 26571-11-9 ; 37205-87-1; 68412-54-4; 9016-45-9,"en:emulsifying, en:surfactant"
DENDROPANAX MORBIFERUS CALLUS CULTURE EXTRACT,,"en:antimicrobial, en:antioxidant, en:hair-conditioning, en:skin-conditioning, en:skin-protecting"
ELEUTHEROCOCCUS NODIFLORUS ROOT EXTRACT,,"en:emollient, en:humectant, en:skin-conditioning"
COSCINIUM FENESTRATUM STEM OIL,,en:skin-conditioning
AMINOPROPYL TRIETHOXYSILANE,919-30-2,en:surfactant
PAPAIN BETA-GLUCAN,,"en:hair-conditioning, en:skin-conditioning"
CITRUS HASSAKU/NATSUDAIDAI PEEL POWDER,,en:flavouring
POLOXAMER 182,9003-11-6,"en:emulsifying, en:surfactant"
PEG-20 SORBITAN OLEATE,9005-65-6,"en:cleansing, en:emulsifying, en:surfactant"
SUCROSE TRIBEHENATE,84798-44-7,"en:emollient, en:emulsifying, en:skin-conditioning"
PETROSELINUM CRISPUM MERISTEM CELL,,"en:antioxidant, en:skin-protecting"
TENACIBACULUM DISCOLOR FERMENT EXTRACT,,"en:humectant, en:skin-conditioning"
MYRISTOYL TETRAPEPTIDE-8,,en:skin-conditioning
PELARGONIUM GRAVEOLENS FLOWER WATER,90082-51-2 / 8000-46-2,"en:astringent, en:deodorant, en:hair-conditioning, en:masking"
DIHYDROABIETYL BEHENATE,,en:emollient
HYDROLYZED FISH EGG MEMBRANE EXTRACT FILTRATE,,en:skin-conditioning
2‚6-DIMETHOXY-3‚5-PYRIDINEDIAMINE HCL,56216-28-5,en:hair-dyeing
SODIUM GLYCOGEN OCTENYLSUCCINATE,,"en:humectant, en:skin-conditioning"
BEHENYL PG-TRIMONIUM CHLORIDE,,"en:antistatic, en:emulsifying, en:hair-conditioning, en:surfactant"
SODIUM STEAROYL METHYL ISETHIONATE,,"en:cleansing, en:foam-boosting, en:surfactant"
RH-POLYPEPTIDE-64,,"en:skin-conditioning, en:skin-protecting"
CITRUS JUNOS FLOWER OIL,,"en:flavouring, en:masking"
ABIES VEITCHII LEAF EXTRACT,,"en:astringent, en:humectant"
PALMITAMIDOPROPYL BETAINE,32954-43-1,"en:antistatic, en:cleansing, en:foam-boosting, en:hair-conditioning, en:skin-conditioning, en:surfactant"
GLYCYRRHIZA GLABRA ROOT JUICE,84775-66-6,en:skin-conditioning
CHENOPODIUM PALLIDICAULE SEED EXTRACT,,en:skin-protecting
SACCHAROMYCES/JUNIPERUS COMMUNIS SEED WATER FERMENT FILTRATE,,
MACROPIPER EXCELSUM LEAF EXTRACT,,"en:skin-conditioning, en:skin-protecting"
AMMONIUM FLUORIDE,12125-01-8,"en:antiplaque, en:oral-care"
PEG-4 OLIVATE,226708-41-4,en:emulsifying
HYDROXYETHYL CARBOXYMETHYL COCAMIDOPROPYLAMINE,,"en:cleansing, en:foam-boosting, en:hair-conditioning, en:surfactant"
OCIMUM AMERICANUM LEAF/STEM OIL,91845-26-0,"en:masking, en:perfuming"
PICHIA ANOMALA EXTRACT,,en:skin-protecting
HEXAPEPTIDE-56,,en:skin-conditioning
KLUYVEROMYCES/LACTOBACILLUS/LACTOCOCCUS/LEUCONOSTOC/SACCHAROMYCES LAC FERMENT,,en:skin-conditioning
DITRIDECYL SODIUM SULFOSUCCINATE,2673-22-5,"en:cleansing, en:foam-boosting, en:hydrotrope, en:surfactant"
STEARAMIDOPROPYL CETEARYL DIMONIUM TOSYLATE,97616-63-2,en:antistatic
HEILMOOR CLAY,,en:skin-conditioning
SODIUM C12-14 PARETH-3 SULFATE,,"en:emulsifying, en:surfactant"
ISOBUTYLPARABEN,4247-02-3,en:antimicrobial
MINKAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE,115340-79-9,"en:antistatic, en:hair-conditioning"
SODIUM HINOKITIOL,17387-01-8,en:antimicrobial
FUCOXANTHIN,3351-86-8,en:skin-conditioning
OXIDIZED MICROCRYSTALLINE CERA,,en:viscosity-controlling
CINNAMOMUM CAMPHORA FORMOSANA ROOT EXTRACT,92704-03-5,en:perfuming
COPPER TETRAPEPTIDE-52 DIMER,,"en:hair-conditioning, en:hair-dyeing"
ARGANIA SPINOSA SEEDCAKE EXTRACT,,en:humectant
EUGENIA EDULIS FRUIT JUICE,,en:skin-conditioning
CAPRYLYL TRIMETHICONE,187593-69-7,en:skin-conditioning
BERBERIS VULGARIS ROOT/FRAGARIA CHILOENSIS FRUIT/LYCIUM CHINENSE FRUIT/MORUS NIGRA FRUIT EXTRACT,,en:skin-protecting
HYDROLYZED FISH CARTILAGE,,en:skin-conditioning
TEA-COCAMIDE DIACETATE,,"en:chelating, en:cleansing, en:surfactant"
ISOSTEAROYLOXY CAPRYLYLBUTYRAMIDE,1971838-44-4,"en:emollient, en:skin-conditioning"
LACTOBACILLUS/(CINNAMOMUM CASSIA/MAGNOLIA) BARK/(ALPINIA OFFICINARUM/ANGELICA GIGAS) ROOT FERMENT EXTRACT FILTRATE,,en:antimicrobial
HYDROGENATED SOY POLYGLYCERIDES,912810-05-0,"en:skin-conditioning, en:viscosity-controlling"
BEHENETH-2,,en:emulsifying
DECANAL,112-31-2,en:masking
METHIONYL SH-POLYPEPTIDE-3 DECAPEPTIDE-40,,en:antioxidant
LEDEBOURIELLA SESELOIDES ROOT EXTRACT,,en:skin-conditioning
DIHEXYL ADIPATE,110-33-8,"en:emollient, en:skin-conditioning, en:solvent"
PEG-12 DIMETHICONE/BIS-ISOBUTYL PPG-20 CROSSPOLYMER,,en:film-forming
RANUNCULUS PYGMAEUS CALLUS CULTURE EXTRACT,,"en:antimicrobial, en:antioxidant, en:hair-conditioning, en:skin-protecting"
MYRISTAMIDOPROPYL HYDROXYSULTAINE,,"en:antistatic, en:cleansing, en:foam-boosting, en:hair-conditioning, en:skin-conditioning, en:viscosity-controlling"
PEG-2 LAURAMIDE,26635-75-6,"en:cleansing, en:emulsifying"
PEG-80 BETULINATE,,"en:hair-conditioning, en:skin-conditioning"
ETHYLHEXYLGLYCERYL BEHENATE,66486-85-9,en:emulsifying
ERYTHROXYLUM CATUABA EXTRACT,,en:skin-protecting
HEXAHYDRO-DIMETHYLSPIROMETHANONAPHTHALENE-OXIRANE,41723-98-2 / 41816-03-9,en:perfuming
LITSEA GLUTINOSA LEAF EXTRACT,,"en:humectant, en:skin-conditioning"
ADAMANTANYL HYDROXYBENZAMIDE,,"en:antioxidant, en:bleaching, en:skin-protecting"
PHORMIUM TENAX FLOWER EXTRACT,,"en:hair-conditioning, en:humectant, en:skin-conditioning"
DISODIUM LAURYL SULFOSUCCINATE,13192-12-6 / 19040-44-9 / 26838-05-1,"en:cleansing, en:foam-boosting, en:foaming, en:hydrotrope, en:skin-conditioning, en:surfactant"
CITRUS NOBILIS WATER,84929-38-4,en:skin-conditioning
SODIUM METHOXY PEG-16 MALEATE/STYRENE SULFONATE COPOLYMER,,"en:film-forming, en:hair-fixing, en:hair-waving-or-straightening"
MEADOWFOAMAMIDOPROPYL PG-DIMONIUM CHLORIDE,345648-01-3,"en:hair-conditioning, en:skin-conditioning"
DELMOPINOL HCL,98092-92-3,"en:antiplaque, en:cleansing, en:oral-care, en:surfactant"
SODIUM SAFFLOWEROYL HYDROLYZED SOY PROTEIN,,"en:cleansing, en:hair-conditioning, en:skin-conditioning"
CYNODON DACTYLON POWDER,84649-95-6,en:skin-conditioning
NOPOL,128-50-7,en:perfuming
PEG-20 GLYCERYL ISOSTEARATE,,en:surfactant
CLITOCYBE AURANTIACA MYCELIUM EXTRACT,,en:antioxidant
DIMETHICONE/PPG-20 CROSSPOLYMER,,"en:emollient, en:viscosity-controlling"
Polyquaternium-23,,
CUMINYL ACETATE,59230-57-8,en:perfuming
SODIUM CAPRYLYL PG-SULFONATE,51946-14-6,"en:cleansing, en:foam-boosting, en:surfactant"
DIAMMONIUM DITHIODIGLYCOLATE,68223-93-8,en:hair-waving-or-straightening
BUTYL BUTYROLACTATE,7492-70-8,en:perfuming
NEOPENTANAL BUTENYLENEGLYCOL ACETAL,53338-06-0,en:perfuming
PORPHYRIDIUM/ZINC FERMENT,,en:skin-protecting
CARBOXYMETHYL CHITOSAN MYRISTAMIDE,,en:humectant
ETHOXYETHYL CYANOACRYLATE,21982-43-4,en:film-forming
C12-13 PARETH-4,66455-14-9,"en:emulsifying, en:surfactant"
DIETHYLENE GLYCOL/HYDROGENATED DIMER DILINOLEIC ACID COPOLYMER,156064-93-6,
TERPINYL PROPIONATE,80-27-3,en:perfuming
LACTOBACILLUS/ALFALFA LEAF/BRASSICA NAPUS SPROUT/CABBAGE LEAF/PANAX GINSENG BERRY/WHEAT GERM EXTRACT FERMENT FILTRATE,,en:skin-conditioning
P-PHENYLENEDIAMINE,106-50-3,en:hair-dyeing
METHOXYETHYL ACRYLATE,3121-61-7,en:film-forming
MAGNESIUM NITRATE,10377-60-3,en:hair-conditioning
PEG-6 COCAMIDE PHOSPHATE,,en:cleansing
PENTAPEPTIDE-57 DIMER,,en:skin-conditioning
CITRUS AURANTIUM BERGAMIA LEAF CELL EXTRACT,,"en:antioxidant, en:skin-protecting"
CETEARETH-24,68439-49-6,"en:cleansing, en:emulsifying, en:surfactant"
RHODODENDRON MUCRONULATUM FLOWER EXTRACT,,"en:antioxidant, en:astringent, en:emollient, en:skin-conditioning, en:skin-protecting"
ROSA MOSCHATA LEAF EXTRACT,,en:astringent
P-TOLYL PHENYLACETATE,101-94-0,en:perfuming
O-AMINOPHENOL SULFATE,67845-79-8,en:hair-dyeing
IRIS GERMANICA ROOT EXTRACT,85085-39-8,en:skin-conditioning
COCODIMONIUM HYDROXYPROPYL HYDROLYZED CASEIN,,"en:antistatic, en:hair-conditioning, en:skin-conditioning"
CASSIA ANGUSTIFOLIA SEED POLYSACCHARIDE,85187-05-9,en:skin-conditioning
LAUROYL PEI-233/POLYCAPROLACTONE COPOLYMER,1374443-63-6,en:emulsifying
ASTER SPATHULIFOLIUS PHYTOPLACENTA EXTRACT,,"en:antimicrobial, en:hair-conditioning, en:humectant, en:skin-conditioning, en:skin-protecting"
AVENA SATIVA BRAN,84012-26-0,"en:abrasive, en:absorbent, en:bulking"
N-CAPROYL DOPAMINE,930050-18-3,"en:antioxidant, en:skin-protecting"
METHYL LINOLEATE,112-63-0,"en:emollient, en:perfuming, en:skin-conditioning"
THYMUS SERPILLUM OIL,84776-98-7,en:perfuming
P-TERT-BUTYL ACETOPHENONE,943-27-1,en:perfuming
POLYGLYCERYL-3 CETYL ETHER,128895-87-4,en:emulsifying
CUPRESSUS SEMPERVIRENS LEAF/NUT/STEM OIL,84696-07-1 / 8013-86-3,"en:emollient, en:masking, en:skin-conditioning"
CITRUS MADURENSIS FRUIT EXTRACT,,"en:hair-conditioning, en:skin-conditioning"
CNIDIUM MONNIERI SEED POWDER,,"en:abrasive, en:masking, en:skin-protecting"
AMMONIUM COCOYL ISETHIONATE,223705-57-5,"en:cleansing, en:surfactant"
COCOGLYCERIDES,92045-31-3,"en:emollient, en:emulsifying, en:skin-conditioning"
HEXAPEPTIDE-50,,en:skin-conditioning
POTASSIUM HYDROGENATED PALMATE,,en:surfactant
CAPSICUM FRUTESCENS FRUIT EXTRACT,85940-30-3,en:skin-conditioning
CARPINUS LAXIFLORA STEM EXTRACT,,"en:antimicrobial, en:antioxidant, en:astringent, en:emollient"
3‚5-DIMETHYLCYCLOHEXENE-1-METHANOL,67634-16-6,en:perfuming
PEG-20 GLYCERYL STEARATE,,en:emulsifying
POLYQUATERNIUM-84,,"en:antistatic, en:film-forming, en:hair-conditioning, en:hair-fixing"
ISOPROPYL CINNAMATE,7780-06-5,en:perfuming
CITRUS LIMON FLOWER WATER,,"en:humectant, en:skin-conditioning"
BIS-PEG-4 DIMETHICONE,,"en:emollient, en:hair-conditioning, en:skin-conditioning"
HYDROGENATED NEPETA CATARIA OIL,84929-35-1,en:antimicrobial
R-CLOSTRIDIUM HISTOLYTICUM COLLAGENASE H HEXAPEPTIDE-40,,en:skin-conditioning
TEA-MYRISTAMINOPROPIONATE,61791-98-8,"en:antistatic, en:cleansing, en:foaming, en:hair-conditioning, en:surfactant"
ESCHERICHIA COLI/GLUCOSE FERMENT FILTRATE,,en:skin-conditioning
COMMIPHORA GILEADENSIS BRANCH/FRUIT/LEAF EXTRACT,,"en:antimicrobial, en:antioxidant, en:astringent, en:uv-filter"
AMMONIUM LAURETH-7 SULFATE,32612-48-9,"en:cleansing, en:foaming, en:surfactant"
DIPEPTIDE-41 NICOTINATE,,en:skin-conditioning
DI-PPG-2 MYRETH-10 ADIPATE,,"en:emollient, en:skin-conditioning, en:surfactant"
ALPHA-TERPINENE,99-86-5,en:perfuming
SH-POLYPEPTIDE-7 SH-OLIGOPEPTIDE-1,,en:skin-protecting
TRIOLEIN PEG-6 ESTERS,,"en:emollient, en:emulsifying, en:skin-conditioning, en:surfactant"
TROMETHAMINE MAGNESIUM ALUMINUM SILICATE,66456-45-9,en:viscosity-controlling
SH-OLIGOPEPTIDE-81 AMIDE,,"en:antimicrobial, en:antiplaque, en:antiseborrhoeic, en:humectant, en:oral-care"
TRIMETHYLPENTANEDIOL/ADIPIC ACID COPOLYMER,26139-53-7,en:skin-conditioning
PEG-12 DITALLATE,61791-01-3,en:emulsifying
GLYCYL SH-OLIGOPEPTIDE-4,,en:skin-conditioning
PEG-23 OLEATE,9004-96-0,"en:emulsifying, en:surfactant"
LATHYRUS ODORATUS FLOWER EXTRACT,90604-48-1,en:skin-conditioning
ALLYL METHACRYLATES CROSSPOLYMER,182212-41-5,"en:emulsion-stabilising, en:opacifying, en:viscosity-controlling"
ZINC CARBONATE,3486-35-9,en:opacifying
EVERNIA FURFURACEA LICHEN EXTRACT,90028-67-4 / 68648-41-9 / 68917-40-8,en:perfuming
BIS(C13-15 ALKOXY) HYDROXYBUTAMIDOAMODIMETHICONE,,en:hair-conditioning
CANDELILLA WAX HYDROCARBONS,,"en:film-forming, en:viscosity-controlling"
CICHORIUM INTYBUS ROOT OLIGOSACCHARIDES,,en:skin-conditioning
S-RICE OLIGOPEPTIDE-1,,"en:antioxidant, en:bulking"
DISODIUM UNDECYLENOYL GLUTAMATE,,"en:cleansing, en:hair-conditioning, en:skin-conditioning, en:surfactant"
PHASEOLUS RADIATUS SEED POWDER,,en:viscosity-controlling
JUNIPERUS VIRGINIANA WOOD EXTRACT,85085-41-2,"en:perfuming, en:tonic"
BUTYLQUINOLINE,53452-65-6,en:perfuming
PROPAGERMANIUM,12758-40-6 / 126595-07-1,en:skin-conditioning
POTASSIUM COCOYL PROLINE,,"en:anticaking, en:cleansing, en:surfactant"
CARPOTROCHE BRASILIENSIS SEED OIL,,en:skin-protecting
ALUMINUM CITRATE,813-92-3,"en:antiperspirant, en:astringent, en:deodorant"
AQUAMARINE POWDER,,"en:binding, en:skin-protecting"
STAPHYLOCOCCUS EPIDERMIDIS,,en:skin-conditioning
ANTRODIA CINNAMOMEA FERMENT FILTRATE POWDER,,"en:antioxidant, en:bleaching, en:skin-conditioning, en:skin-protecting"
RIBES RUBRUM CALLUS POWDER,,"en:antioxidant, en:skin-protecting"
THIOCTOYL DIPEPTIDE-36 AMIDE PEG-2 ETHYLAMINE,,"en:antioxidant, en:emollient, en:skin-conditioning"
4-ETHYLGUAIACOL,2785-89-9,en:perfuming
COSTUS SPECIOSUS RHIZOME/ROOT EXTRACT,89997-95-5,en:skin-conditioning
3-HEPTENYL ISOBUTYRATE,67801-45-0,en:perfuming
HYDROLYZED MILLET,227025-36-7,en:skin-conditioning
PEG/PPG/POLYBUTYLENE GLYCOL-8/5/3 GLYCERIN,,en:humectant
BIS-PEG-15 METHYL ETHER DIMETHICONE,,"en:emulsifying, en:hair-conditioning, en:skin-conditioning, en:surfactant"
PEARL POWDER,,en:not-reported
Camellia sinensis leaf extract,,
LAURYL ISOQUINOLINIUM SACCHARINATE,,"en:antimicrobial, en:antistatic"
SODIUM PALMITOYL PROLINE,58725-33-0,en:skin-conditioning
POLYGONATUM OFFICINALE EXTRACT,,en:skin-conditioning
TALLOWAMIDE DEA,68140-08-9,"en:antistatic, en:emulsifying, en:emulsion-stabilising, en:foam-boosting, en:surfactant, en:viscosity-controlling"
METHYLTHIOPHENYL MORPHOLINO ISOBUTANONE,71868-10-5,en:binding
CENTAUREA CYANUS FLOWER WATER,84012-18-0,en:skin-conditioning
GLEDITSIA TRIACANTHOS WOOD EXTRACT,,en:skin-conditioning
CORDYCEPS MILITARIS FERMENT FILTRATE,,"en:humectant, en:skin-conditioning"
S-MUSSEL OLIGOPEPTIDE-2,,"en:emollient, en:humectant, en:skin-conditioning"
ACETYLATED HYDROGENATED TALLOW GLYCERIDE,68990-58-9,"en:emollient, en:emulsifying, en:skin-conditioning"
ASPERGILLUS/LACTOBACILLUS/SACCHAROMYCES/ACTINIDIA ARGUTA FRUIT/AKEBIA QUINATA FRUIT/CORYLUS HETEROPHYLLA FRUIT/DIOSPYROS LOTUS FRUIT/MORUS ALBA FRUIT/PRUNUS DAVIDIANA FRUIT/PYRUS LINDLEJI FRUIT/RUBUS CRATAEGIFOLIUS FRUIT/VITIS AMURENSIS FRUIT FERMENT FILTRATE,,en:skin-conditioning
FAGUS SYLVATICA BUD EXTRACT,85251-65-6,en:tonic
BIS-DIISOPROPYLPHENYL TETRAPHENOXYPERYLENE TETRACARBOXDIIMIDE,112100-07-9,en:cosmetic-colorant
DITRIMETHYLOLPROPANE TETRAHYDROXYSTEARATE,,"en:emollient, en:skin-conditioning"
OZONIZED MACADAMIA SEED OIL,,en:skin-conditioning
CAMELLIA JAPONICA LEAF WAX,,en:smoothing
PAULOWNIA IMPERIALIS BARK/FLOWER/LEAF EXTRACT,,"en:astringent, en:hair-conditioning, en:skin-conditioning, en:soothing"
2-ETHYL-4-HYDROXY-5-METHYLFURAN-3(2H)-ONE,27538-10-9,en:perfuming
PHENYLACETALDEHYDE GLYCERYL CYCLIC ACETALS,29895-73-6,en:perfuming
HYPERICUM PERFORATUM PHYTOPLACENTA CULTURE EXTRACT,,"en:antimicrobial, en:antioxidant, en:hair-conditioning, en:humectant"
DIMETHICONE/SILSESQUIOXANE COPOLYMER,68440-84-6,"en:film-forming, en:hair-conditioning, en:hair-fixing"
VANILLA PLANIFOLIA FRUIT OIL,8024-06-4 / 84650-63-5,"en:emollient, en:skin-conditioning"
SUNFLOWER SEED OIL PEG-8 ESTERS,,"en:emollient, en:emulsifying, en:skin-conditioning, en:surfactant"
HYDROLYZED PRUNE SEEDCAKE/MDI COPOLYMER,,en:skin-protecting
LYSOPHOSPHATIDYLCHOLINYLCHLORIN E6,,"en:antioxidant, en:antiseborrhoeic"
OCTYLDODECYL ISOSTEARATE,93803-87-3,en:skin-conditioning
GLYCERYL TETRAHYDROFARNESYLACETATE,1313054-01-1,"en:emulsifying, en:surfactant"
CALCIUM BETA-SITOSTERYL SULFATE,,"en:hair-conditioning, en:skin-conditioning"
MINOXIDIL SUCCINOYL OLIGOPEPTIDE-143,,en:skin-conditioning
POLYGLYCERYL-5 HEXASTEARATE,,en:emulsifying
CUPRIC CHLORIDE,7447-39-4,en:skin-conditioning
POPULUS NIGRA BARK/BUD/LEAF/TWIG EXTRACT,84650-39-5,en:skin-conditioning
UNDECYL DIMETHYL OXAZOLINE,,en:skin-conditioning
ETHYL GLYCERIN ACETAL LEVULINATE,902272-78-0,en:solvent
BUTYLDIMETHICONE METHACRYLATE/METHYL METHACRYLATE CROSSPOLYMER,,en:plasticiser
EMMEISOU EKISU,,en:skin-conditioning
AMODIMETHICONE,71750-80-6,"en:antistatic, en:hair-conditioning"
SORBITAN DIOLEATE,29116-98-1,en:emulsifying
R-(METHIONYL SH-POLYPEPTIDE-31 DECAPEPTIDE-40),,"en:skin-conditioning, en:skin-protecting"
STEARAMIDOETHYL ETHANOLAMINE PHOSPHATE,68134-13-4,en:antistatic
CARAPA GUAIANENSIS SEED POWDER,352458-32-3 / 906347-26-0,en:abrasive
CITRUS TANGELO PEEL POWDER,,en:flavouring
BACILLUS/NELUMBO NUCIFERA LEAF EXTRACT FERMENT FILTRATE,,"en:antimicrobial, en:antioxidant"
CI 42170,5863-51-4,en:cosmetic-colorant
VERBASCUM DENSIFLORUM ROOT EXTRACT,,en:skin-conditioning
POLYQUATERNIUM-104,,en:hair-conditioning
XANTHOCERAS SORBIFOLIUM SEED OIL,,"en:antioxidant, en:skin-conditioning"
HYDROLYZED SULFONATED KERATIN,,"en:emollient, en:hair-conditioning, en:humectant"
3-BUTENYL PHENYL KETONE,3240-29-7,en:perfuming
GUAIENE,88-84-6,en:perfuming
PEG-10 HYDROGENATED TALLOW AMINE,61791-26-2,en:emulsifying
CAPROIC ACID,142-62-1,"en:cleansing, en:emulsifying, en:masking, en:perfuming, en:surfactant"
LAURETH-4,5274-68-0 / 9002-92-0 / 68439-50-9,"en:antistatic, en:emulsifying, en:masking, en:surfactant"
RICINOLEAMIDOPROPYL DIMETHYLAMINE,20457-75-4,"en:antistatic, en:hair-conditioning"
F.I.L. c167146/1,,
PROPYLENE GLYCOL DIETHYLHEXANOATE,93981-97-6,en:emollient
SORBETH-12 HEXACOCOATE,,en:emollient
SOLANUM LYCOPERSICUM MERISTEM CELL CULTURE CONDITIONED MEDIA,,"en:antioxidant, en:skin-conditioning"
VANILLA TAHITENSIS FRUIT EXTRACT,94167-14-3,en:skin-conditioning
HEXACOSYL GLYCOL,97338-12-0,"en:humectant, en:skin-conditioning"
PEG-5 TALLOW AMIDE,68155-24-8 / 8051-61-4,en:emulsifying
ISODECETH-5,,"en:emulsifying, en:surfactant"
CANARIUM LUZONICUM GUM NONVOLATILES,8023-89-0,"en:hair-conditioning, en:masking"
PPG-8 GLYCERYL ETHER,25791-96-2,
AMOMUM BIFLORUM LEAF EXTRACT,,"en:antioxidant, en:humectant, en:skin-conditioning"
ORCHIS MACULATA FLOWER EXTRACT,90082-23-8,en:skin-conditioning
BIS-ISOSTEARYL DIMER DILINOLEYL DIMER DILINOLEATE,,"en:emollient, en:hair-conditioning, en:skin-conditioning, en:viscosity-controlling"
LAURETH-3 PHOSPHATE,39464-66-9 / 25852-45-3,"en:cleansing, en:surfactant"
ALBATRELLUS CONFLUENS EXTRACT,,"en:humectant, en:skin-conditioning"
OLIVOYL HYDROLYZED WHEAT PROTEIN,,"en:cleansing, en:hair-conditioning, en:skin-conditioning"
DIHYDROXYETHYL LAURAMINE OXIDE,2530-44-1,"en:antistatic, en:cleansing, en:emulsion-stabilising, en:foam-boosting, en:hydrotrope, en:surfactant"
VA/VINYL BUTYL BENZOATE/CROTONATES COPOLYMER,,"en:film-forming, en:hair-fixing"
